step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error,maximum_scaled_point_error
1,0.003125,302,0,0,4.2070001637874915e-07,2.0714162415410916e-06
2,0.00625,302,0,0,8.168639461525219e-07,3.330278104625973e-06
3,0.009375000000000001,300,0,0,1.2262595355749972e-06,1.7285878090023132e-06
4,0.0125,300,0,0,1.645433799330616e-06,3.83174782525159e-06
5,0.015625,300,0,0,2.046797987853695e-06,5.124607443278951e-06
6,0.018750000000000003,300,0,0,2.4381947074735835e-06,5.6129188665789035e-06
7,0.021875000000000002,298,0,0,2.8457174173975063e-06,2.938797230717484e-06
8,0.025,298,0,0,3.2581454064007206e-06,3.6874831554847187e-06
9,0.028125,298,0,0,3.6616060282526217e-06,4.806802038631383e-06
10,0.03125,298,0,0,4.059159642132154e-06,5.143771839684234e-06
11,0.034375,296,0,0,4.467639897545723e-06,4.6010171721735025e-06
12,0.037500000000000006,296,0,0,4.877634264395211e-06,5.393953666761818e-06
13,0.040625,296,0,0,5.28172517312914e-06,6.081463993800316e-06
14,0.043750000000000004,296,0,0,5.681790861444785e-06,6.627908740852454e-06
15,0.046875,294,0,0,6.08992224524555e-06,6.18233639004101e-06
16,0.05,294,0,0,6.4988483725027455e-06,7.0702825358861106e-06
17,0.053125000000000006,294,0,0,6.903530396196084e-06,7.808124535818885e-06
18,0.05625,294,0,0,7.3051060843279536e-06,8.363979385725473e-06
19,0.059375000000000004,292,0,0,7.712242463359088e-06,7.612718477223176e-06
20,0.0625,292,0,0,8.120713716848026e-06,8.597224304220526e-06
21,0.065625,292,0,0,8.526090316406558e-06,9.396231041272575e-06
22,0.06875,292,0,0,8.92882289919838e-06,9.982280095772509e-06
23,0.07187500000000001,290,0,0,9.334522675254181e-06,8.803060284442538e-06
24,0.07500000000000001,290,0,0,9.742766463813339e-06,9.899271806935737e-06
25,0.078125,290,0,0,1.0148946403546516e-05,1.0784873628871558e-05
26,0.08125,290,0,0,1.055277918524301e-05,1.1437244130596268e-05
27,0.084375,288,0,0,1.0956874993872598e-05,9.632630781521642e-06
28,0.08750000000000001,288,0,0,1.1364699884416083e-05,1.0868082005102876e-05
29,0.09062500000000001,288,0,0,1.177169121506386e-05,1.1878253223108367e-05
30,0.09375,288,0,0,1.2176732748510446e-05,1.264549978120802e-05
31,0.096875,288,0,0,1.258040272706447e-05,1.3154139418871367e-05
32,0.1,286,0,0,1.2986442816272351e-05,1.1340405284302954e-05
33,0.10312500000000001,286,0,0,1.339388824958805e-05,1.252103541424949e-05
34,0.10625000000000001,286,0,0,1.380020817025911e-05,1.3458651651799268e-05
35,0.109375,286,0,0,1.4205071576631963e-05,1.414238992926676e-05
36,0.1125,286,0,0,1.46090622258598e-05,1.4563315801372324e-05
37,0.115625,284,0,0,1.5015421568606185e-05,1.2467457497517288e-05
38,0.11875000000000001,284,0,0,1.5422547451592762e-05,1.3630080583225334e-05
39,0.12187500000000001,284,0,0,1.5828844841220116e-05,1.4550928275968027e-05
40,0.125,284,0,0,1.6234051647197828e-05,1.5225296296186566e-05
41,0.12812500000000002,284,0,0,1.6638513762988406e-05,1.5650249893465134e-05
42,0.13125,282,0,0,1.7043908992021874e-05,1.2777682060622113e-05
43,0.134375,282,0,0,1.7450780032067696e-05,1.3984547892921604e-05
44,0.1375,282,0,0,1.7857388479821488e-05,1.4965267260418325e-05
45,0.140625,282,0,0,1.8263260363820887e-05,1.572019438271442e-05
46,0.14375000000000002,282,0,0,1.866842153073585e-05,1.625118827695095e-05
47,0.146875,282,0,0,1.9073150121351146e-05,1.6561549640506035e-05
48,0.15000000000000002,280,0,0,1.9478631493781148e-05,1.3175306437678892e-05
49,0.153125,280,0,0,1.988521768528442e-05,1.428554693771138e-05
50,0.15625,280,0,0,2.0291738367835297e-05,1.5197459911789855e-05
51,0.15937500000000002,280,0,0,2.0697841227180666e-05,1.5916177389187196e-05
52,0.1625,280,0,0,2.1103463587047163e-05,1.644792011790385e-05
53,0.16562500000000002,280,0,0,2.1508703275423494e-05,1.679991641427095e-05
54,0.16875,280,0,0,2.1913728002804204e-05,1.698031835861328e-05
55,0.171875,278,0,0,2.231911115038139e-05,1.6621462434308574e-05
56,0.17500000000000002,278,0,0,2.2725370446056117e-05,1.71341610341095e-05
57,0.178125,278,0,0,2.3131732781261074e-05,1.7649366758418428e-05
58,0.18125000000000002,278,0,0,2.3537961793458548e-05,1.8166754736546777e-05
59,0.184375,278,0,0,2.394396368412806e-05,1.8685997386200995e-05
60,0.1875,278,0,0,2.4349731048735643e-05,1.9206764561139536e-05
61,0.19062500000000002,278,0,0,2.4755303285189625e-05,1.9728723695774085e-05
62,0.19375,278,0,0,2.5160739796333683e-05,2.0251539955335228e-05
63,0.19687500000000002,278,0,0,2.556610285218716e-05,2.0774876383694894e-05
64,0.2,278,0,0,2.5971447574948643e-05,2.1298394054241946e-05
65,0.203125,276,0,0,2.6377096621859627e-05,2.1759359143306375e-05
66,0.20625000000000002,276,0,0,2.6783090202216418e-05,2.2280720438940398e-05
67,0.209375,276,0,0,2.7189149497797185e-05,2.2801238314686538e-05
68,0.21250000000000002,276,0,0,2.759520740553525e-05,2.3320568475890575e-05
69,0.215625,276,0,0,2.8001229334289936e-05,2.3838365427595083e-05
70,0.21875,276,0,0,2.8407201402268504e-05,2.435428263177476e-05
71,0.22187500000000002,276,0,0,2.8813122183518166e-05,2.4867972662564807e-05
72,0.225,276,0,0,2.9218997099822695e-05,2.5379087363402888e-05
73,0.22812500000000002,276,0,0,2.9624834742137974e-05,2.5887278005803018e-05
74,0.23125,276,0,0,3.0030644563874472e-05,2.6392195445770225e-05
75,0.234375,276,0,0,3.0436435531494067e-05,2.6893490284074344e-05
76,0.23750000000000002,276,0,0,3.0842215409390365e-05,2.7390813024454117e-05
77,0.240625,276,0,0,3.124799045119846e-05,2.788381423322643e-05
78,0.24375000000000002,276,0,0,3.165376533123137e-05,2.8372144698735428e-05
79,0.246875,276,0,0,3.2059543202212593e-05,2.8855455592456292e-05
80,0.25,276,0,0,3.246532579988044e-05,2.93333986273261e-05
81,0.253125,276,0,2,3.287344258801754e-05,2.980562621963224e-05
82,0.25625000000000003,276,0,2,3.329350019051467e-05,3.027179164880445e-05
83,0.259375,276,0,2,3.3748283232452075e-05,3.9803719392726946e-05
84,0.2625,276,0,2,3.4278950223519674e-05,6.273442834479298e-05
85,0.265625,276,0,2,3.494953216047395e-05,9.240532310900287e-05
86,0.26875,276,0,2,3.5851847173427275e-05,0.0001288221645781505
87,0.27187500000000003,276,0,2,3.710878951978434e-05,0.00017197562251610352
88,0.275,276,0,2,3.887333087516684e-05,0.0002218412848997321
89,0.278125,276,0,2,4.132096268483111e-05,0.00027837969327165697
90,0.28125,276,0,2,4.463558415756281e-05,0.0003415364040210169
91,0.284375,276,0,2,4.899248949086506e-05,0.0004112420754660662
92,0.28750000000000003,276,0,2,5.454448214125889e-05,0.0004874125805554463
93,0.290625,276,0,2,6.141570355837822e-05,0.0005699491449644694
94,0.29375,276,0,2,6.970345399482427e-05,0.0006587385103129969
95,0.296875,276,0,2,7.948476391458423e-05,0.0007536531221792116
96,0.30000000000000004,278,2,2,8.582622569937538e-05,0.0008099032576629094
97,0.30312500000000003,278,2,0,8.59840088543416e-05,0.0008083713768742676
98,0.30625,278,0,2,8.627717626304497e-05,0.0008065945404094591
99,0.309375,278,0,2,8.7123878909169e-05,0.0008045732764011055
100,0.3125,278,0,2,8.901727444282034e-05,0.000802308186852289
101,0.31562500000000004,278,0,2,9.250853217215526e-05,0.0007997999474574893
102,0.31875000000000003,278,0,2,9.813681945457224e-05,0.0007970493074010722
103,0.321875,278,0,2,0.00010634733158057164,0.0007940570891348193
104,0.325,278,0,2,0.00011743534624320871,0.0009057925627224258
105,0.328125,278,0,2,0.00013154135589876285,0.001054520213866187
106,0.33125000000000004,280,2,2,0.0001383718827740382,0.0011153299629337642
107,0.33437500000000003,280,2,0,0.00013842958012290658,0.0011106687937860464
108,0.3375,280,0,2,0.0001387941396143826,0.0011056761291697928
109,0.340625,280,0,2,0.00014032271659736642,0.0011003534573270292
110,0.34375,280,0,2,0.000143892280453014,0.001094702364857554
111,0.34687500000000004,280,0,2,0.0001503683319178911,0.0010887245362471178
112,0.35000000000000003,280,0,2,0.00016047785537147462,0.0010824217533655111
113,0.353125,282,2,2,0.00016802863621092072,0.0010757958949364319
114,0.35625,282,2,0,0.0001680369194881892,0.0010688489359778515
115,0.359375,282,0,2,0.00016846149561245422,0.0010615829472143963
116,0.36250000000000004,282,0,2,0.0001704737457723364,0.0010540000944608875
117,0.36562500000000003,282,0,2,0.00017523175764058065,0.0010461026379774232
118,0.36875,282,0,2,0.00018380998767806534,0.0010378929317969058
119,0.371875,284,2,2,0.0001905913667419499,0.0010293734230237227
120,0.375,284,2,0,0.00019056114119288557,0.0010205466511053988
121,0.37812500000000004,284,0,2,0.0001910529909397946,0.0010114152470776293
122,0.38125000000000003,284,0,2,0.00019350672341527246,0.00100198193277957
