Time [s];TipDxc1 [m];TipDyc1 [m];TipDxc2 [m];TipDyc2 [m];TipDxc3 [m];TipDyc3 [m];BldPitch1 [deg];BldPitch2 [deg];BldPitch3 [deg];PtfmSurge [m];PtfmSway [m];PtfmHeave [m];PtfmRoll [deg];PtfmPitch [deg];PtfmYaw [deg];Azimuth [deg];RotSpeed [rpm];RotAccel [deg/s^2];LSSGagP [deg];LSSGagV [rpm];LSSGagA [deg/s^2];GenSpeed [rpm];GenAccel [deg/s^2];YawPos [deg];YawRate [deg/s];YawAccel [deg/s^2];YawBrTDxp [m];YawBrTDyp [m];YawBrTDzp [m];YawBrTDxt [m];YawBrTDyt [m];YawBrTDzt [m];YawBrTAxp [m/s^2];YawBrTAyp [m/s^2];YawBrTAzp [m/s^2];RootFxc1 [kN];RootFyc1 [kN];RootFzc1 [kN];RootFxb1 [kN];RootFyb1 [kN];RootMxc1 [kN-m];RootMyc1 [kN-m];RootMzc1 [kN-m];RootMxb1 [kN-m];RootMyb1 [kN-m];RootFxc2 [kN];RootFyc2 [kN];RootFzc2 [kN];RootFxb2 [kN];RootFyb2 [kN];RootMxc2 [kN-m];RootMyc2 [kN-m];RootMzc2 [kN-m];RootMxb2 [kN-m];RootMyb2 [kN-m];RootFxc3 [kN];RootFyc3 [kN];RootFzc3 [kN];RootFxb3 [kN];RootFyb3 [kN];RootMxc3 [kN-m];RootMyc3 [kN-m];RootMzc3 [kN-m];RootMxb3 [kN-m];RootMyb3 [kN-m];RotThrust [kN];LSShftFya [kN];LSShftFza [kN];LSShftFys [kN];LSShftFzs [kN];LSShftTq [kN-m];LSSTipMya [kN-m];LSSTipMza [kN-m];LSSTipMys [kN-m];LSSTipMzs [kN-m];LSSGagMya [kN-m];LSSGagMza [kN-m];LSSGagMys [kN-m];LSSGagMzs [kN-m];HSShftTq [kN-m];HSShftPwr [kW];HSSBrTq [kN-m];YawBrFxn [kN];YawBrFyn [kN];YawBrFzn [kN];YawBrFxp [kN];YawBrFyp [kN];YawBrMxn [kN-m];YawBrMyn [kN-m];YawBrMzn [kN-m];YawBrMxp [kN-m];YawBrMyp [kN-m];TwrBsFxt [kN];TwrBsFyt [kN];TwrBsFzt [kN];TwrBsMxt [kN-m];TwrBsMyt [kN-m];TwrBsMzt [kN-m];NcIMUTAxs [m/s^2];NcIMUTAys [m/s^2];Wave1Elev [m];WRPSurge [m];WRPSway [m];WRPHeave [m];WRPRoll [rad];WRPPitch [rad];WRPYaw [rad];HydroFxi [N];HydroFyi [N];HydroFzi [N];HydroMxi [N-m];HydroMyi [N-m];HydroMzi [N-m];HdrStcFxi [N];HdrStcFyi [N];HdrStcFzi [N];HdrStcMxi [N-m];HdrStcMyi [N-m];HdrStcMzi [N-m];RdtnFxi [N];RdtnFyi [N];RdtnFzi [N];RdtnMxi [N-m];RdtnMyi [N-m];RdtnMzi [N-m];FAIRTEN1 [N];FAIRTEN2 [N];FAIRTEN3 [N];ANCHTEN1 [N];ANCHTEN2 [N];ANCHTEN3 [N];PtfmTilt [deg];PtfmShift [m];TwrBsShear [kN];TwrBsBend [kN-m];YawBrShear [kN];YawBrBend [kN-m];RootShear1 [kN];RootShear2 [kN];RootShear3 [kN];RootBend1 [kN-m];RootBend2 [kN-m];RootBend3 [kN-m];FAIRTEN1_t [t];FAIRTEN2_t [t];FAIRTEN3_t [t]
         0; 4.3029E-6;1.49504E-7;-5.3901E-6;6.42096E-8;1.14394E-6;         0;         0;         0;         0;-2.6429E-5;-3.7865E-8;-0.6390073;-1.4275E-8;7.46854E-6;2.56201E-9;         0;-2.7223E-8;-1.0828E-2;         0;         0;         0;         0;         0;         0;         0;         0;7.37227E-7;5.40397E-8;-6.608E-10; 7.2494E-7;5.58778E-8;         0;-0.1280859;1.08229E-3;-5.6055E-2;28.1073551;0.24512367;-396.26843;28.1073551;0.24512367;-5.9348273;376.100281;7.54877E-7;-5.9348273;376.100281;23.7045212;-236.67653;195.295593;23.7045212;-236.67653;3241.06152;181.186371;-1.4382E-4;3241.06152;181.186371;27.7033958;236.506409;195.136841;27.7033958;236.506409;-3235.0791;358.748993;9.58413E-5;-3235.0791;358.748993;192.461273; 0.1119459;-1998.5988; 0.1120427; -1998.599;-4.7226E-3;-181.83725;-163.92622;-181.81279;-163.89178;-7276.8442; -164.3221;-7276.8447;-164.32352;-9.6269E-5;         0;         0;111.061951;-0.7006502;-6396.5117;111.061951;-0.7006502;-12.665117;-2301.9568;-166.22615;-12.665117;-2301.9568; -153.7565;0.35427964;-14971.012; -13.48741;-3500.6582;-166.20892; -0.187824;1.80781E-3;-6.8229E-2;-2.6429E-5;-3.7865E-8;-0.6390073;-2.491E-10;1.32907E-7;3.7263E-11;1526705.25; -60.77737; 123996928;-17210.043;-5.15472E9;46292.0508;         0;         0; 125185736;-22543.277;-5.20621E9;         0;-741065.44; 321.12326;3958233.75;76078.1562;-189090976;93518.8906;1271564.25;1270867.12;1270870.38;1041916.38;1041234.75; 1041234.5;7.46856E-6;2.64291E-5;153.756908;3500.68419;111.064161;2301.99163; 28.108424;237.860639;238.123412;376.147103;3246.12204;3254.90977;129.751454;129.680319;129.680651
    2.5E-2;2.35395E-4;7.92472E-5;-9.3356E-4;-6.2463E-3;-2.9682E-5;6.27279E-3;         0;         0;         0;7.76609E-5;1.27834E-7;-0.6390073; -8.455E-8;4.49577E-5;-1.6141E-7;360.000031;-4.7484E-5;-1.2231E-2;         0;         0;         0;         0;         0;         0;         0;         0; -1.471E-4;5.40397E-8;1.37736E-9;-1.4711E-4;5.58778E-8;-1.0529E-9;-0.1239737;9.19287E-4;-5.4881E-2; 26.711771;0.20736082;-397.81403; 26.711771;0.20736082;-4.9343925;374.058533;1.94004E-4;-4.9343925;374.058533;24.5501461;-239.05568;196.120514;24.5501461;-239.05568;3329.67114;202.213272; -1.332E-2;3329.67114;202.213272;28.3658962;238.952774;195.996277;28.3658962;238.952774;-3324.6355; 376.16507;3.18691E-3;-3324.6355; 376.16507;190.703339;0.11352701;-2009.2531;0.11360576;-2009.2532; -0.190722;-216.31972;-160.23242;-216.34206;-160.24704; -7349.209;-160.64522;-7349.2085;-160.64519;-3.8163E-3;         0;         0;101.100449;-0.5246032; -6401.562;101.100449;-0.5246032;-12.966829;-2451.8762;-162.10893;-12.966829;-2451.8762;-134.11525;9.33849E-2;-14977.096;-3.6877723;-2875.4346;-162.09167;-0.1741523;1.43308E-3;-8.2712E-2;7.76609E-5;1.27834E-7;-0.6390073;-1.4757E-9;7.87216E-7;-2.8245E-9;1485317.25;76.8508606; 123994792;-25395.637;-5.15439E9;46292.0508;         0;         0; 125185848;-22559.023;-5.20621E9;         0;-731245.06; 456.83728;   3961950;66310.8906;-190883920;91764.1953;1272819.38;   1270161;1270171.25;1042326.88;1041640.19;1041640.31;4.49578E-5; 7.7661E-5;134.115282;2875.43694; 101.10181;2451.91051;26.7125759;240.312978;240.630531;374.091077;3335.80577;3345.84838;129.879528;129.608265;129.609311
      5E-2; 1.0057E-3;2.94852E-4;-3.5695E-3;-2.4887E-2;-3.7389E-5;2.50097E-2;         0;         0;         0;1.81751E-4;6.24929E-7;-0.6390781;-2.9537E-7;1.19936E-4;-5.9866E-7;360.000031;-1.0357E-4;-1.4659E-2;         0;         0;         0;         0;         0;         0;         0;         0;-5.8747E-4;5.40397E-8;1.36064E-8;-5.8748E-4;5.58778E-8;-9.4761E-9;-0.1153206; 6.5104E-4;-5.3471E-2;24.3820591;0.13297947;-400.68655;24.3820591;0.13297947;-3.6560593;382.844238;7.47983E-4;-3.6560593;382.844238;26.2879219;-244.78239;197.683517;26.2879219;-244.78239;3564.37134; 246.71463;  -5.44E-2;3564.37134; 246.71463;29.8173294;244.788788;197.614319;29.8173294;244.788788;-3561.0786;418.238464;1.14942E-2;-3561.0786;418.238464;187.932373;0.10641199;-2031.3323;0.10579046;-2031.3324;-0.7022202;-280.77249;-157.32663;-280.79352;-157.34109;-7492.0044;-157.70372; -7492.001;-157.70253;-1.4046E-2;         0;         0;82.2651825;-0.2487358;-6412.7944;82.2651825;-0.2487358;-13.895175;-2748.9363;-158.33896;-13.895175;-2748.9363;-98.539047;-0.3369471;-14989.586;12.3790751; -1772.217;-158.37128;-0.1474702;8.25161E-4;-9.7256E-2;1.81751E-4;6.24929E-7;-0.6390781;-5.1553E-9;2.09583E-6;-1.0456E-8;1438355.75;293.817719; 123996008;-39177.504;-5.15456E9;46518.7695;         0;         0; 125186192; -22601.01;-5.20623E9;         0;-726894.25;672.033203;   3969164;51163.3555;-193172048;90210.5547;   1274344;1269194.25;1269212.38;1042745.12;1042061.62;1042062.12;1.19936E-4;1.81752E-4;98.5396233;1772.26027;82.2655585; 2748.9714;24.3824217;246.189917;246.598102;382.861695;3572.89954;3585.55495;130.035102;129.509617;129.511467
    7.5E-2;2.54632E-3;5.94658E-4;-7.4431E-3;-5.5543E-2;1.55275E-4;5.58849E-2;         0;         0;         0;3.89931E-4;1.28772E-6;-0.6391488;-5.7647E-7;2.69893E-4;-1.3638E-6;360.000031;-1.6795E-4;-1.6013E-2;         0;         0;         0;         0;         0;         0;         0;         0;-1.3204E-3;5.40397E-8;6.45607E-8;-1.3204E-3;5.58778E-8;-4.3169E-8;-0.1033934;3.66107E-4; -5.211E-2;21.8181133;4.25775E-2;-404.11322;21.8181133;4.25775E-2;-2.5222332;403.818634;1.71423E-3;-2.5222332;403.818634;28.6817265;-253.28366;199.578766;28.6817265;-253.28366;3934.37354;311.074738;-0.1272586;3934.37354;311.074738;31.8614731;253.396912;199.564621;31.8614731;253.396912;-3933.0137;482.444031;2.21197E-2;-3933.0137;482.444031;185.290512;7.83472E-2;-2060.5774;7.72646E-2;-2060.5776;-1.5857171;-367.26364;-156.19386; -367.2829;-156.20827;-7682.2871;-156.47809;-7682.2798;-156.47643;-3.1716E-2;         0;         0;59.4367256;1.07973E-2;-6428.9702;59.4367256;1.07973E-2;-15.287693;-3134.6926;-156.15633;-15.287693;-3134.6926;-56.881832;-0.7653536;-15006.964;28.4459229;-556.05603;-156.13904;-0.1139523;2.09152E-4;   -0.1118;3.89931E-4;1.28772E-6;-0.6391488;-1.0061E-8;4.71307E-6;-2.3811E-8;1389123.62;507.546265; 124001040;-52875.848;-5.15488E9;47286.1289;         0;         0; 125186712; -22669.24;-5.20625E9;         0;-724843.12;883.984985;3979656.75;36015.8203;-195596768;89205.2656;1275745.38;1268383.88;1268409.38;1043178.81;1042495.12;1042496.06;2.69893E-4;3.89933E-4;56.8869809;556.783153;59.4367266;3134.72991;21.8181549;254.902441;255.392146;403.826511;3946.65208;3962.49275;130.178099;129.426926;129.429528
       0.1;5.11915E-3;9.08497E-4;-1.1898E-2;-9.7607E-2;8.25746E-4;9.83118E-2;         0;         0;         0;7.02201E-4;2.19906E-6;-0.6392549;-9.9812E-7;4.94828E-4;-2.3477E-6;360.000031;-2.3333E-4;-1.4888E-2;         0;         0;         0;         0;         0;         0;         0;         0;-2.3427E-3;-1.3418E-7;1.92965E-7;-2.3427E-3;-1.3234E-7;-1.1161E-7;-8.9751E-2;  1.569E-4;-5.1133E-2;19.7422714;-4.1645E-2;-407.25479;19.7422714;-4.1645E-2;-1.9553201; 436.85791;3.23445E-3;-1.9553201; 436.85791;31.4500732;-263.87927;201.359818;31.4500732;-263.87927; 4424.8208;390.509644;-0.2392592; 4424.8208;390.509644;34.2697372;264.081573;201.382019;34.2697372;264.081573;-4425.3071;565.328247;3.19725E-2;-4425.3071;565.328247;183.939789; 2.5775E-2;-2092.2832; 2.3339E-2;-2092.2834;-2.8644626;-467.71878;-158.16389;-467.68851;-158.17841; -7895.313;-158.29201;-7895.3013;-158.24202;-5.7291E-2;         0;         0;37.8820839;0.15236089;-6448.6348;37.8820839;0.15236089;-17.028341;-3545.9673;-157.09883;-17.028341;-3545.9673;-19.818674;-1.0445398;-15027.473;39.1571541;385.813324;-157.13113;-8.0474E-2;-2.1006E-4;-0.1263441;7.02201E-4;2.19906E-6;-0.6392549;-1.7421E-8;8.63893E-6;-4.0982E-8;1341542.88;647.333374; 124009728; -61813.18;-5.15496E9;49082.4414;         0;         0; 125187400;-22763.715;-5.20628E9;         0;-721113.88;1021.86176; 3993647.5;25669.1406;-197773904;89223.5391;1277162.25;1267585.62;1267614.25;1043628.06;1042948.75;   1042946;4.94829E-4;7.02205E-4;19.8461811;387.795312;37.8823903;3546.00817;19.7423153; 265.74683;266.295874;436.862286;4442.01946;4461.27103;130.322679;129.345472;129.348393
     0.125;9.06313E-3;1.16875E-3;-1.6118E-2;-0.1502074;2.28999E-3;0.15142682;         0;         0;         0;1.11856E-3; 3.2761E-6;-0.6394317;-1.4198E-6;7.94741E-4;-3.4954E-6;360.000031;-2.8842E-4;-1.1265E-2;         0;         0;         0;         0;         0;         0;         0;         0; -3.648E-3; -3.224E-7;4.29393E-7;-3.6481E-3;-3.2056E-7;-2.2111E-7;-7.5738E-2;8.50255E-5;-5.0821E-2; 18.709959;-0.1018367;-409.40933; 18.709959;-0.1018367;-2.1998708;480.415344; 5.4246E-3;-2.1998708;480.415344; 34.299839;-275.93585;202.646957; 34.299839;-275.93585;5019.61865;479.289856; -0.403966;5019.61865;479.289856; 36.817585;276.164154;202.675766; 36.817585;276.164154;-5021.5781;662.806274;3.89274E-2;-5021.5781;662.806274;184.739288;-4.3004E-2;-2122.3938;-4.6608E-2; -2122.394;-4.4919572;-575.15588;-164.86198;-575.17096;-164.87685;-8109.6729;-164.71429;-8109.6572;-164.71587;-8.9841E-2;         0;         0;21.9665737;0.12604459;-6470.4268;21.9665737;0.12604459;-19.117119;-3929.0483;-163.05142;-19.117119;-3929.0483;  3.839607;-1.1013398;-15049.541;41.8919373;726.661133;-163.03418; -5.283E-2;-3.0441E-4;-0.1394767;1.11856E-3; 3.2761E-6;-0.6394317; -2.478E-8;1.38734E-5;-6.1014E-8;   1297265;674.319275; 124023600;-63734.289;-5.15453E9;52552.9922;         0;         0; 125188368;-22879.182;-5.20632E9;         0;-711790.69;1047.27441;4008075.25;22192.6562;-199174096;90777.1797;1278586.75;1266815.38;1266851.25; 1044100.5;1043414.38;1043416.06;7.94742E-4;1.11857E-3;3.99443755;727.867664;21.9669353;3929.09485;18.7102362;278.059478;278.607564;480.420381;5042.44883;5065.13169;130.468036;129.266875;129.270536
      0.15;1.46402E-2;1.32057E-3;-1.9175E-2;-0.2121281;4.87169E-3;0.21400809;         0;         0;         0;1.63901E-3;4.51884E-6;-0.6396085;-1.8414E-6;1.16963E-3;-4.9165E-6;360.000031;-3.2592E-4; -6.631E-3;         0;         0;         0;         0;         0;         0;         0;         0;-5.2239E-3;-6.9884E-7; 7.9015E-7; -5.224E-3;  -6.97E-7;-3.6852E-7;-6.2486E-2;1.78719E-4;-5.1331E-2;18.9778557;-0.1288429;-410.17551;18.9778557;-0.1288429; -3.300349;530.964233;8.22026E-3; -3.300349;530.964233;36.9669914;-288.94748;203.211395;36.9669914;-288.94748;5701.78809;570.907043;-0.6395934;5701.78809;570.907043;39.3138466;289.132294;203.216766;39.3138466;289.132294;-5704.7349;770.162109;4.27912E-2;-5704.7349;770.162109;   187.987;  -0.10862;-2148.3398;-0.1142102;-2148.3401;-6.4217005;-684.73035;-178.01193;-684.69568;-177.97824;-8311.3604;-177.60786;-8311.3408;-177.56549;-0.1284358;         0;         0;14.0946922;-5.6355E-2;-6493.3076;14.0946922;-5.6355E-2; -21.64686;-4250.4946;-175.75031; -21.64686;-4250.4946;9.03288841;-0.9550077;-15071.952;37.2200165;282.953918;-175.78278;-3.4648E-2;-5.6392E-5;-0.1526094;1.63901E-3;4.51884E-6;-0.6396085;-3.2139E-8;2.04165E-5;-8.5817E-8;1259386.12;594.440979; 124040824; -59390.91;-5.15335E9;58186.0938;         0;         0; 125189520;-23015.643;-5.20638E9;         0;-695879.19; 966.71106;   4025782;25089.7266;-199805888; 94487.625;1279995.88;1266073.25;1266108.12;1044580.69;1043900.06;1043898.19;1.16963E-3;1.63902E-3;9.08323251;285.391397;14.0948049;4250.54975; 18.978293;291.302599;291.792841; 530.97449;5730.29862; 5756.4876;130.611824;129.191148;129.194707
     0.175;2.20351E-2;1.33205E-3;-2.0153E-2;-0.2819717;8.89451E-3;0.28457293;         0;         0;         0;2.26355E-3;5.92728E-6;-0.6398207;-2.2631E-6;1.58201E-3;-6.5562E-6;360.000031;-3.4583E-4;-3.3653E-3;         0;         0;         0;         0;         0;         0;         0;         0;-7.0641E-3;-1.2635E-6;1.27727E-6;-7.0641E-3;-1.2617E-6;-5.5699E-7;  -5.05E-2;4.22581E-4;-5.2664E-2;20.4575939;-0.1238079;-409.52023;20.4575939;-0.1238079;-5.0677838;583.926086;1.12221E-2;-5.0677838;583.926086;39.2398262;-302.59909;203.014191;39.2398262;-302.59909;6455.05713;658.741638;-0.9690069;6455.05713;658.741638;41.6219788;302.667114;202.973465;41.6219788;302.667114;-6458.7539;882.308289;4.54959E-2;-6458.7539;882.308289;193.330307;-0.1497291;-2169.4119;-0.1571944;-2169.4119;-8.4676933;-793.49738;-199.04199;-793.46051; -199.0094;-8494.9072;-198.49252;-8494.8838;-198.45839;-0.1693557;         0;         0;14.3666306;-0.3340369;-6516.6538;14.3666306;-0.3340369;-24.826443;-4502.1782;-196.88203;-24.826443;-4502.1782;-4.6605067;-0.6989265;-15094.125;28.6738205;-953.37561;-196.86507;-2.6649E-2;4.50433E-4; -0.165742;2.26355E-3;5.92728E-6;-0.6398207;-3.9498E-8;2.76139E-5;-1.1443E-7;1228319.38;448.716949; 124060944;    -51790; -5.1514E9;66522.3906;         0;         0; 125190896;-23173.098;-5.20644E9;         0;-673317.12;820.183167;4046112.25;31214.9609;-199660752;100884.961;   1281351;1265359.12;   1265405;1045084.12;1044401.81;1044400.44;1.58202E-3;2.26356E-3; 4.7126236;953.806711;14.3705134;4502.24667;20.4579686;305.132715;305.515583;583.948077;6488.58252; 6518.7399;130.750102;129.118278;129.122959
       0.2;3.13405E-2;1.19172E-3;-1.8173E-2;-0.3580453;1.45974E-2;0.36137795;         0;         0;         0;2.88809E-3;7.58426E-6;-0.6400682;-2.8253E-6;2.06937E-3;-8.5238E-6;360.000031; -3.591E-4; -3.795E-3;         0;         0;         0;         0;         0;         0;         0;         0; -9.159E-3;-1.8282E-6;1.88465E-6; -9.159E-3;-1.8263E-6;-7.9705E-7; -3.982E-2;7.66553E-4;-5.4651E-2;22.7494373;-9.6802E-2;-407.75696;22.7494373;-9.6802E-2;-7.1464648;634.289368;1.39147E-2;-7.1464648;634.289368;40.9717865;-316.74332;202.198151;40.9717865;-316.74332;7263.33154;736.285217;-1.4166216;7263.33154;736.285217;43.6570206;  316.6362;202.102692;43.6570206;  316.6362;-7267.6099;993.897461;4.97462E-2;-7267.6099;993.897461;199.845581;-0.1493338;-2186.6641;-0.1591482;-2186.6643;-10.629935;-900.17456;-229.13419;-900.18298;-229.10318;-8662.8467;-228.59389;-8662.8193;-228.57162;-0.2126005;         0;         0;20.6355095;-0.6207939;-6540.2725;20.6355095;-0.6207939;-28.887955; -4698.709;-227.38911;-28.887955; -4698.709;-33.201359;-0.4620995;-15116.017;20.9252701;-2835.0974;-227.37241; -2.685E-2;1.07049E-3;-0.1788746;2.88809E-3;7.58426E-6;-0.6400682; -4.931E-8;3.61199E-5;-1.4878E-7;1202413.12;295.976593; 124083424;-45274.938;-5.14883E9;77928.1094;         0;         0; 125192440;-23362.045;-5.20651E9;         0;-645471.94;666.626282;4068409.75;36346.9141;-198892352;110371.281;   1282637;1264681.12;1264729.75;   1045603;1044915.56;1044914.69;2.06937E-3; 2.8881E-3;33.2045744;2835.17463;20.6448453;4698.79779;22.7496433;319.382241;319.631692;634.329626;7300.55484;7335.25632;130.881327;129.049094;129.054056
     0.225;4.24791E-2;9.12325E-4;-1.2492E-2;-0.4384912;2.21421E-2;0.44243547;         0;         0;         0;3.72081E-3;9.57264E-6;-0.6403512;-3.3875E-6;2.63171E-3;-1.0765E-5;360.000031;-3.8433E-4;-9.1591E-3;         0;         0;         0;         0;         0;         0;         0;         0; -1.149E-2;-2.3928E-6;2.61839E-6; -1.149E-2; -2.391E-6;-1.1108E-6;-2.9939E-2;1.14518E-3;-5.7021E-2;25.2628899;-6.2472E-2;-405.44144;25.2628899;-6.2472E-2;  -9.10287;677.413696;1.59373E-2;  -9.10287;677.413696;42.0802879;-331.35666;201.038452;42.0802879;-331.35666;8111.22363; 797.97522;-2.0049152;8111.22363; 797.97522;45.3785095;331.046417;200.892044;45.3785095;331.046417;-8116.3486;1099.80505;5.72806E-2;-8116.3486;1099.80505;206.241653;-0.1062483;-2202.3547;-0.1181179; -2202.355;-12.885178;-1004.4294;-268.73178;-1004.4357;-268.70285;-8822.7832;-268.35318;-8822.8193;-268.29758;-0.2577054;         0;         0;29.2516422;-0.8422137;-6564.2925;29.2516422;-0.8422137;-34.086689; -4870.751;-267.61877;-34.086689; -4870.751;-69.532135;-0.3600521;-15137.981;18.4183865;-5095.9873;-267.65198;  -3.13E-2; 1.6501E-3;-0.1905344;3.72081E-3;9.57264E-6;-0.6403512;-5.9123E-8;4.59346E-5;-1.8789E-7;1177642.25;189.652039; 124108880;-43437.355;-5.14598E9;92560.2266;         0;         0; 125194216; -23582.48;-5.20659E9;         0;-614083.94; 559.02832;4088958.25;36678.0078;-197560464;123019.719;1283838.12;1264039.25;1264098.62;1046129.69;1045445.44;   1045449;2.63171E-3;3.72082E-3;69.5330672;5096.02059;29.2637642;4870.87025;25.2629671;334.017943;334.142095;677.474854;8150.38117;8190.52418; 131.00389;128.983597;128.989656
      0.25;5.52817E-2;5.14285E-4;-2.5795E-3; -0.521337;3.15903E-2;0.52567619;         0;         0;         0;4.55353E-3;1.18096E-5;-0.6406694;-4.0199E-6;3.26903E-3;-1.3443E-5;360.000031;-4.4174E-4;-1.8999E-2;         0;         0;         0;         0;         0;         0;         0;         0;-1.4044E-2;-2.7693E-6; 3.5213E-6;-1.4044E-2;-2.7674E-6;-1.5267E-6;-2.0214E-2;1.49557E-3;-5.9463E-2;27.3527584;-3.5923E-2;-403.22104;27.3527584;-3.5923E-2;-10.481247;709.586792;1.72514E-2;-10.481247;709.586792;42.5409012;-346.44247;199.866425;42.5409012;-346.44247;8982.46191;839.639648;-2.7509398;8982.46191;839.639648;46.7773476;345.948608;199.682281;46.7773476;345.948608; -8989.123;1195.50073;6.84858E-2; -8989.123;1195.50073;211.172806;-3.3912E-2;-2219.2151;-4.8562E-2;-2219.2153;-15.419419;-1106.1194;-317.44073;-1106.1237; -317.4144;-8984.3203;-317.28015;-8984.3535;-317.24384;-0.3083902;         0;         0; 35.992836; -0.957461;-6588.9214; 35.992836; -0.957461;-40.654736;-5054.6255;-316.92612;-40.654736;-5054.6255;-105.57439;-0.4592114;-15160.486;23.3182049;-7435.5342;-316.91016;-3.5249E-2;2.07066E-3;-0.2021942;4.55353E-3;1.18096E-5;-0.6406694;-7.0161E-8;5.70578E-5;-2.3463E-7;1152664.88; 161.58667; 124135096;-48365.418;-5.14308E9;110209.445;         0;         0; 125196224;-23844.906;-5.20668E9;         0;-582820.31;530.912231;4109944.25;30304.4531;-196177344;138684.031;1284954.62;1263437.62;1263507.25;1046679.56;1045991.31;1045991.38;3.26903E-3;4.55355E-3;105.575393;7435.57074;36.0055687;5054.78898; 27.352782;349.044576;349.096777;709.664197;9021.61941;9068.27189;131.117819;128.922207;128.929311
     0.275;6.94399E-2;2.31134E-5;1.18875E-2;-0.6045774;4.28496E-2;0.60894954;         0;         0;         0;5.38625E-3;1.44607E-5; -0.641023;-4.7227E-6;3.94383E-3;-1.6613E-5;360.000031;-5.4561E-4;-3.1052E-2;         0;         0;         0;         0;         0;         0;         0;         0;-1.6809E-2; -2.581E-6;4.67287E-6;-1.6809E-2;-2.5792E-6;-2.0795E-6;-9.8268E-3;1.76895E-3;-6.1707E-2;28.4888611;-2.7913E-2;-401.66504;28.4888611;-2.7913E-2;-11.003696;728.828796; 1.8295E-2;-11.003696;728.828796;42.3734055;-361.93713;198.981689;42.3734055;-361.93713;9859.53711;859.220215;-3.6628337;9859.53711;859.220215;47.8565674;361.335999;198.776413;47.8565674;361.335999;-9869.1973;1277.19653; 8.1816E-2;-9869.1973;1277.19653;213.506775;3.96098E-2;-2239.5366;2.21668E-2;-2239.5369;-18.488409;-1204.4847;-373.78357;-1204.4869;-373.76019;-9154.8613;-373.90405;-9154.8242;-373.84103;  -0.36977;         0;         0;37.1378365;-0.9719803; -6614.252;37.1378365;-0.9719803;-48.638504;-5281.2021;-373.47583;-48.638504;-5281.2021; -134.2706;-0.7566892;-15183.887;35.5107765;-9589.5312;-373.50995;-3.4307E-2;2.27959E-3;-0.2138541;5.38625E-3;1.44607E-5; -0.641023;-8.2427E-8;6.88354E-5;-2.8996E-7;1124900.88;216.098251; 124161240; -59892.07; -5.1404E9;130352.586;         0;         0; 125198456; -24149.32;-5.20678E9;         0;-554353.56;584.981567;4130492.75;17309.0234;-194990592;156852.453;1285978.75;   1262884;   1262960;1047244.94;1046557.31;1046553.88;3.94383E-3;5.38627E-3;134.272732;  9589.597;37.1505537;5281.42612;28.4888748;364.409103;364.491365;728.911857;9896.90514;9951.49665;131.222321;128.865714;128.873469
       0.3; 8.4615E-2; -5.446E-4;3.09582E-2;-0.6861576;5.57119E-2;0.69013739;         0;         0;         0;6.42715E-3; 1.7609E-5;-0.6414121;-5.4957E-6;4.69361E-3;-2.0275E-5;360.000031; -6.986E-4;-4.1838E-2;         0;         0;         0;         0;         0;         0;         0;         0;-1.9772E-2;-1.8282E-6;6.18519E-6;-1.9772E-2;-1.8263E-6;-2.8007E-6; 1.8666E-3;1.94607E-3;-6.3573E-2;28.3640289;-4.0501E-2;-401.13516;28.3640289;-4.0501E-2;-10.525711;734.954041;1.96992E-2;-10.525711;734.954041;41.6336288;-377.65961;198.583466;41.6336288;-377.65961;10723.8779;856.772644;-4.7374969;10723.8779;856.772644;48.6171799;377.062683;198.371155;48.6171799;377.062683;-10738.055;1342.29333;9.45667E-2;-10738.055;1342.29333;212.583115;8.34858E-2; -2264.543;6.24155E-2;-2264.5432;-22.394394;-1297.8629;-435.29773;-1297.8633;-435.27762;-9337.0068;-435.57751;-9337.0322;-435.48978;-0.4478897;         0;         0;30.3823299;-0.9266074;-6640.1348;30.3823299;-0.9266074;-58.038002;-5566.8408;-434.68839;-58.038002;-5566.8408;-151.09328;-1.1918347;-15208.159;52.8310661;-11390.579; -434.6734;-2.5567E-2;2.29711E-3;-0.2254525;6.42715E-3; 1.7609E-5;-0.6414121;-9.5918E-8;8.19216E-5;-3.5387E-7;1092905.12;328.899414; 124186688;-75929.156;-5.13811E9;152117.641;         0;         0; 125200864;-24500.971;-5.20689E9;         0; -530175.5; 696.90509;4150167.25;-73.396751;-194188032;176629.344;1286918.12; 1262374.5;1262460.62;1047833.56;1047127.25;1047128.38;4.69362E-3;6.42718E-3;151.097978;11390.7016;30.3964566;5567.14335;28.3640578;379.947546;380.184031;735.029409; 10758.049;10821.6251;131.318176;128.813724;128.822513
