benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,candidate_name,candidate_order,candidate_description,candidate_is_current_default,station_index,x_m,x_over_l,trapz_weight_m,current_density_value_per_m,candidate_density_value_per_m,candidate_density_delta_vs_current_per_m,candidate_density_ratio_to_current,current_station_integral_value,candidate_station_integral_value,candidate_station_integral_delta_vs_current,current_gradient_norm,candidate_gradient_norm,candidate_gradient_norm_ratio_to_current,current_gradient_peak_panel_index,candidate_gradient_peak_panel_index,current_gradient_peak_abs,candidate_gradient_peak_abs,candidate_gradient_peak_abs_ratio_to_current,current_gradient_peak_phase_deg,candidate_gradient_peak_phase_deg,candidate_gradient_peak_phase_delta_vs_current_deg,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,scheme_backward,3,Recomputes only the forward-speed pressure term with a backward body-potential x-gradient.,False,1,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,21.534206289359126,37.0210520429855,1.7191742080263723,7,6,8.156808258834536,13.451196552116958,1.6490759774263588,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,scheme_backward,3,Recomputes only the forward-speed pressure term with a backward body-potential x-gradient.,False,2,0.75,0.75,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,10.072766732057778,6.378831052970741,0.6332749702888832,3,0,4.120433649899274,3.4213899008255546,0.830347043911068,-90.0,90.0,-180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_central,4,Phase-aligns adjacent body-potential states before applying the central x-gradient; this diagnoses station-to-station phase flips without changing the BIE solution.,False,0,0.25,0.25,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,52.547105031320655,52.547105031320655,1.0,6,6,19.231476591840572,19.231476591840572,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_central,4,Phase-aligns adjacent body-potential states before applying the central x-gradient; this diagnoses station-to-station phase flips without changing the BIE solution.,False,1,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,21.534206289359126,21.534206289359126,1.0,7,7,8.156808258834536,8.156808258834536,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_central,4,Phase-aligns adjacent body-potential states before applying the central x-gradient; this diagnoses station-to-station phase flips without changing the BIE solution.,False,2,0.75,0.75,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,10.072766732057778,10.072766732057778,1.0,3,3,4.120433649899274,4.120433649899274,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_forward,5,Phase-aligns adjacent body-potential states before applying the forward x-gradient; this isolates one-sided start-up sensitivity from phase wrapping.,False,0,0.25,0.25,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,52.547105031320655,37.0210520429855,0.70453076379601,6,6,19.231476591840572,13.451196552116958,0.6994364934944184,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_forward,5,Phase-aligns adjacent body-potential states before applying the forward x-gradient; this isolates one-sided start-up sensitivity from phase wrapping.,False,1,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,21.534206289359126,6.378831052970741,0.29621853562918476,7,0,8.156808258834536,3.4213899008255546,0.41945204450771423,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_forward,5,Phase-aligns adjacent body-potential states before applying the forward x-gradient; this isolates one-sided start-up sensitivity from phase wrapping.,False,2,0.75,0.75,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,10.072766732057778,6.378831052970741,0.6332749702888832,3,0,4.120433649899274,3.4213899008255546,0.830347043911068,-90.0,90.0,-180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_backward,6,Phase-aligns adjacent body-potential states before applying the backward x-gradient; this checks whether upstream differencing reduces the first active pair spike.,False,0,0.25,0.25,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,52.547105031320655,37.0210520429855,0.70453076379601,6,6,19.231476591840572,13.451196552116958,0.6994364934944184,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_backward,6,Phase-aligns adjacent body-potential states before applying the backward x-gradient; this checks whether upstream differencing reduces the first active pair spike.,False,1,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,21.534206289359126,37.0210520429855,1.7191742080263723,7,6,8.156808258834536,13.451196552116958,1.6490759774263588,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,phase_aligned_backward,6,Phase-aligns adjacent body-potential states before applying the backward x-gradient; this checks whether upstream differencing reduces the first active pair spike.,False,2,0.75,0.75,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,10.072766732057778,6.378831052970741,0.6332749702888832,3,0,4.120433649899274,3.4213899008255546,0.830347043911068,-90.0,90.0,-180.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_aft_gradient_zero,7,Sets the first aft active station's body-potential x-gradient to zero while leaving all other stations unchanged.,False,0,0.25,0.25,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,52.547105031320655,0.0,0.0,6,0,19.231476591840572,0.0,0.0,90.0,0.0,-90.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_aft_gradient_zero,7,Sets the first aft active station's body-potential x-gradient to zero while leaving all other stations unchanged.,False,1,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,21.534206289359126,21.534206289359126,1.0,7,7,8.156808258834536,8.156808258834536,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_aft_gradient_zero,7,Sets the first aft active station's body-potential x-gradient to zero while leaving all other stations unchanged.,False,2,0.75,0.75,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,10.072766732057778,10.072766732057778,1.0,3,3,4.120433649899274,4.120433649899274,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_aft_gradient_copy_second,8,"Copies the second active station's x-gradient to the first aft station, treating the first station as a start-up extrapolation point.",False,0,0.25,0.25,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,52.547105031320655,21.534206289359126,0.4098076626014636,6,7,19.231476591840572,8.156808258834536,0.42413842847071154,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_aft_gradient_copy_second,8,"Copies the second active station's x-gradient to the first aft station, treating the first station as a start-up extrapolation point.",False,1,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,21.534206289359126,21.534206289359126,1.0,7,7,8.156808258834536,8.156808258834536,1.0,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_aft_gradient_copy_second,8,"Copies the second active station's x-gradient to the first aft station, treating the first station as a start-up extrapolation point.",False,2,0.75,0.75,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,10.072766732057778,10.072766732057778,1.0,3,3,4.120433649899274,4.120433649899274,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_first_pair_gradient_average,9,Replaces the first two active station gradients by their pair average to measure local spike sensitivity without changing downstream stations.,False,0,0.25,0.25,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,52.547105031320655,37.0210520429855,0.70453076379601,6,6,19.231476591840572,13.451196552116958,0.6994364934944184,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_first_pair_gradient_average,9,Replaces the first two active station gradients by their pair average to measure local spike sensitivity without changing downstream stations.,False,1,0.5,0.5,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,21.534206289359126,37.0210520429855,1.7191742080263723,7,6,8.156808258834536,13.451196552116958,1.6490759774263588,90.0,90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,heave,heave_force,startup_first_pair_gradient_average,9,Replaces the first two active station gradients by their pair average to measure local spike sensitivity without changing downstream stations.,False,2,0.75,0.75,0.125,0.0,0.0,0.0,,0.0,0.0,0.0,10.072766732057778,10.072766732057778,1.0,3,3,4.120433649899274,4.120433649899274,1.0,-90.0,-90.0,0.0,diagnostic_startup_pressure_gradient_station_candidate_not_hard_gate
