case_name,coefficient,total_rows,pass_rows,fail_rows,error_rows,finite_gate_rows,median_gate_error_ratio,max_gate_error_ratio,median_abs_error,median_rel_error,max_heave_residual,max_pitch_residual,max_heave_condition_number,max_pitch_condition_number,pass_fraction,diagnostic_conclusion,gate_role
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pmm1p0_dt1p0_fv1p0_hr1p0,A55,1,1,0,0,1,0.7398510562951259,0.7398510562951259,0.00699159248198894,0.11097765844426888,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_prm1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0,A55,1,1,0,0,1,0.7398510562951259,0.7398510562951259,0.00699159248198894,0.11097765844426888,3.994021119204139e-16,4.1599178711809582e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0,A35,1,0,1,0,1,1.7824992347899213,1.7824992347899213,0.10694995408739527,0.5347497704369764,4.638520343115812e-16,3.5382363108465676e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pmm1p0_dt1p0_fv1p0_hr1p0,A35,1,0,1,0,1,1.7824992347899213,1.7824992347899213,0.10694995408739527,0.5347497704369764,4.638520343115812e-16,3.5382363108465676e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0,A53,1,0,1,0,1,3.332631007770568,3.332631007770568,0.14996839534967554,0.9997893023311704,3.994021119204139e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_endaft_prm1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0,A53,1,0,1,0,1,3.332631007770568,3.332631007770568,0.14996839534967554,0.9997893023311704,3.994021119204139e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0,A53,1,0,1,0,1,3.332631007770568,3.332631007770568,0.14996839534967554,0.9997893023311704,3.994021119204139e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_noend_prm1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0,A53,1,0,1,0,1,3.332631007770568,3.332631007770568,0.14996839534967554,0.9997893023311704,3.994021119204139e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_noend_prm1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv1p0_hr1p0,A35,1,0,1,0,1,3.332870738595511,3.332870738595511,0.19997224431573066,0.9998612215786532,4.638520343115812e-16,3.5382363108465676e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_zerofs_noend_prm1p0_pl1p0_pf1p0_pmm1p0_dt1p0_fv1p0_hr1p0,A35,1,0,1,0,1,3.332870738595511,3.332870738595511,0.19997224431573066,0.9998612215786532,4.638520343115812e-16,3.5382363108465676e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
