coarse_case,fine_case,interval_index,lower_x_m,upper_x_m,channel,coarse_contribution,fine_contribution,fine_minus_coarse,a53_nondimensional_change
sub8,sub16,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.21007275330768396,-0.4131404631261949,-0.20306770981851094,
sub8,sub16,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.05386916190048053,0.13078075199446548,0.07691159009398496,-0.010869362238725202
sub8,sub16,0,0.0,0.2332,cumulative_cosine_vertical_force_n,4.945724712576304,5.179852709136448,0.23412799656014371,
sub8,sub16,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7121610183330644,-1.7970780293077233,-0.08491701097465887,
sub8,sub16,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.2166666482349255,-0.6341450735957811,0.5825215746391444,
sub8,sub16,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.13085485683071893,0.08202201193244141,-0.04883284489827752,0.006901194991525384
sub8,sub16,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.668113588885976,6.510196609505254,-0.15791697938072247,
sub8,sub16,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7373355729653879,-0.7345953337829427,0.0027402391824451477,
sub8,sub16,2,0.4664,0.6996,cumulative_sine_vertical_force_n,0.14219515986720288,-1.4273381407965913,-1.5695333006637942,
sub8,sub16,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.12398059033341682,-0.11129471844925923,-0.23527530878267605,0.03324976838811748
sub8,sub16,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.97503577419733,8.800559180825125,-0.174476593372205,
sub8,sub16,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0664448043584867,1.0821593682998147,0.015714563941328086,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.241246364509067,12.648320472019014,0.4070741075099473,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.230583148573895,5.414333881002735,0.1837507324288401,-0.02596817033635003
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.364276118860904,10.323123896212085,0.9588477773511812,
sub8,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.49170186090136,3.827655096161224,0.335953235259864,
sub16,sub32,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.4131404631261949,-0.42227590864445236,-0.009135445518257457,
sub16,sub32,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.13078075199446548,0.13910157037529888,0.0083208183808334,-0.0011759214572654422
sub16,sub32,0,0.0,0.2332,cumulative_cosine_vertical_force_n,5.179852709136448,5.439163407190862,0.2593106980544144,
sub16,sub32,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7970780293077233,-1.8918527243416425,-0.09477469503391922,
sub16,sub32,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-0.6341450735957811,-0.09365788849951545,0.5404871850962656,
sub16,sub32,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.08202201193244141,0.032829785302834785,-0.04919222662960662,0.006951983828617724
sub16,sub32,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.510196609505254,6.421432113712522,-0.0887644957927316,
sub16,sub32,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7345953337829427,-0.7360072477189517,-0.001411913936008924,
sub16,sub32,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-1.4273381407965913,-2.7376488003477966,-1.3103106595512053,
sub16,sub32,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,-0.11129471844925923,-0.33401664655029084,-0.2227219281010316,0.031475689321715766
sub16,sub32,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.800559180825125,8.736766819021359,-0.0637923618037668,
sub16,sub32,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0821593682998147,1.100071800764293,0.017912432464478156,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.648320472019014,13.820153679772066,1.1718332077530516,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.414333881002735,5.9716707665478665,0.5573368855451317,-0.07876441626795512
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,10.323123896212085,10.857234745166522,0.5341108489544375,
sub16,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.827655096161224,3.9890163505260343,0.1613612543648104,
