x_m,y_m,newly_exposed,edge_extrapolated,transferred_real,transferred_imag,refreshed_real,refreshed_imag,equation_residual
2.9812470375,-0.8914772727272727,False,False,1.7444027907924088e-07,1.3392762986331394e-07,0.001101703498372238,0.0008458398434577983,4.3003521176863996e-16
2.9812470375,-0.8744318181818181,False,False,1.8404105425671248e-07,1.4129868585541203e-07,0.0011623886788523852,0.0008924312753932402,4.3003521176863996e-16
2.9812470375,-0.8573863636363637,False,False,1.8634656816193175e-07,1.4306875876845512e-07,0.0011769822563012274,0.000903635586973579,4.3003521176863996e-16
2.9812470375,-0.8403409090909091,False,False,1.9368868825881718e-07,1.4870571800710766e-07,0.0012233865173471514,0.0009392627525011997,4.3003521176863996e-16
2.9812470375,-0.8232954545454545,False,False,2.0150463380557367e-07,1.54706459737991e-07,0.0012727859721381053,0.0009771894970100506,4.3003521176863996e-16
2.9812470375,-0.8062499999999999,False,False,2.098113611166369e-07,1.6108400227898337e-07,0.0013252887910992232,0.0010174988690295832,4.3003521176863996e-16
2.9812470375,-0.7892045454545454,False,False,2.1864652681551246e-07,1.6786725674146456e-07,0.001381133661789594,0.001060374122446223,4.3003521176863996e-16
2.9812470375,-0.7721590909090909,False,False,2.2805311572237617e-07,1.7508922499355052e-07,0.0014405929072753968,0.0011060243350199319,4.3003521176863996e-16
2.9812470375,-0.7551136363636364,False,False,2.380790260443485e-07,1.8278668118733014e-07,0.0015039699441446134,0.0011546824567589475,4.3003521176863996e-16
2.9812470375,-0.7380681818181818,False,False,2.487778218649428e-07,1.9100074948741547e-07,0.0015716040809791697,0.0012066089939781108,4.3003521176863996e-16
2.9812470375,-0.7210227272727272,False,False,2.6020933834144073e-07,1.9977736871506803e-07,0.0016438743777857491,0.0012620949723995615,4.3003521176863996e-16
2.9812470375,-0.7039772727272727,False,False,2.7244041216268595e-07,2.091678531616998e-07,0.0017212042962529337,0.0013214655074186691,4.3003521176863996e-16
2.9812470375,-0.6869318181818181,False,False,2.855457685362665e-07,2.1922957357910496e-07,0.0018040673425210498,0.00138508413637595,4.3003521176863996e-16
2.9812470375,-0.6698863636363637,False,False,2.996090791624657e-07,2.3002676944544627e-07,0.0018929937966540424,0.0014533579851514129,4.3003521176863996e-16
2.9812470375,-0.6528409090909091,False,False,3.147242117778837e-07,2.4163150831044556e-07,0.0019885786614484233,0.001526743870912824,4.3003521176863996e-16
2.9812470375,-0.6357954545454545,False,False,3.309967005063363e-07,2.541248146665393e-07,0.0020914910181182816,0.0016057554850031918,4.3003521176863996e-16
2.9812470375,-0.6187499999999999,False,False,3.485454753559953e-07,2.6759799778127717e-07,0.00220248503445033,0.0016909718445209583,4.3003521176863996e-16
2.9812470375,-0.6017045454545454,False,False,3.6750489924078903e-07,2.821542156334065e-07,0.002322412935279052,0.0017830472504834572,4.3003521176863996e-16
2.9812470375,-0.5846590909090909,False,False,3.8802717262030475e-07,2.97910321090419e-07,0.0024522403203086417,0.0018827230481844952,4.3003521176863996e-16
2.9812470375,-0.5676136363636364,False,False,4.1028518000504793e-07,3.149990473310534e-07,0.0025930643052934866,0.001990841555196986,4.3003521176863996e-16
2.9812470375,-0.5505681818181818,False,False,4.3447586999842405e-07,3.335716028937151e-07,0.002746135074739782,0.002108362608599915,4.3003521176863996e-16
2.9812470375,-0.5335227272727272,False,False,4.6082428223079047e-07,3.5380076338101545e-07,0.002912881574112189,0.0022363832903304084,4.3003521176863996e-16
2.9812470375,-0.5164772727272727,False,False,4.895883617109853e-07,3.7588456770830504e-07,0.0030949422449128646,0.00237616152423566,4.3003521176863996e-16
2.9812470375,-0.49943181818181814,False,False,5.210647353272863e-07,4.000507530490658e-07,0.00329420192720656,0.002529144408221954,4.3003521176863996e-16
