iteration,pseudo_time,thickness_jump_ratio,resolution_jump_ratio,residual_jump_ratio
2,0.000815945820182,1.2549916861162986,1.2551670160796007,
14,0.0057342964081081,1.2439683316624417,1.2443256272176155,
26,0.0106779155386862,1.235655920647132,1.2360038772739672,
33,0.0156443823209528,1.1992110860405731,1.1990152435134944,
39,0.0206276092189721,1.1961510707812306,1.1958942579101781,
44,0.0247932764100559,1.1862338681506723,1.1862823526461754,
50,0.0298005633124153,1.1852115517876816,1.1849957128467943,
55,0.03398623458927,1.1772429782523135,1.177407975953724,
60,0.0381764596522859,1.1708392409743296,1.1709188146019116,
66,0.0432124913745524,1.17167241975968,1.1716953133946628,
71,0.0474179777108596,1.1658877903103748,1.16613196361841,
77,0.0524665048224759,1.1671832307897176,1.167209319853628,
82,0.0566817392033451,1.1620533171801004,1.1623578053030665,
87,0.0608978520587946,1.1578166316004637,1.1580528085316286,
93,0.0659586797057466,1.1596233404131082,1.1597937236930809,
98,0.0701812223896663,1.1555175635955772,1.1558729572551576,
103,0.0744036522737722,1.1520406245102304,1.1523563426446892,
108,0.078627100061447,1.1488391827647642,1.149217014466553,
114,0.0836928769689421,1.1512597939528386,1.1515219698559376,
119,0.0879172489445099,1.1480878793727787,1.1485271352811786,
124,0.0921402122192647,1.145403782878587,1.1457976633259215,
129,0.0963623085170221,1.1428641986544603,1.1433080900898038,
134,0.1005828902425466,1.1406090522728203,1.141067386441863,
140,0.1056436148116137,1.1433272870555187,1.1436990497773316,
145,0.1098623249526331,1.1409247829475526,1.1414364875704472,
150,0.1140785950790603,1.138877586301503,1.1393505678695814,
155,0.1182929505867841,1.136904028057519,1.1374134067356274,
160,0.1225049416155938,1.1351231274103284,1.1356446760065881,
165,0.1267145211551811,1.1334690580336564,1.134007351064379,
170,0.1309216298099142,1.131939654552793,1.1324924516607666,
176,0.1359654295100162,1.1348499942789676,1.1353301016606985,
181,0.1401692971424273,1.1331249617792518,1.133713770569629,
186,0.1443699291154,1.1316628782925768,1.1322191542941797,
191,0.1485678689504662,1.1302175808969754,1.1307978971023833,
196,0.1527628497728497,1.128890716479819,1.12948084982454,
201,0.1569548379724719,1.1276449301785478,1.128246369941763,
206,0.1611438409232229,1.1264764397589015,1.1270885569983242,
211,0.1653298227589393,1.1253785663203724,1.126000223152891,
216,0.1695127683329291,1.1243432612562536,1.1249740597686295,
222,0.1745273920640953,1.127264442997471,1.127838982445346,
227,0.1787067473388853,1.1260368004814645,1.1266926910683994,
232,0.1828824078347573,1.125001270360281,1.1256305658511945,
