benchmark,case_code,fn_b,speed_m_s,wave_omega_rad_s,source_encounter_omega_rad_s,wave_number_rad_m,wavelength_m,wave_amplitude_m,lambda_over_l,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,heave_digitization_uncertainty_abs,pitch_digitization_uncertainty_abs,source_kind,response_wavelength_m,frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,linear_gate_eligible
begovic_2014_mono_efd_republished_2020,C1,1.67,3.4,5.65,16.734,3.26,1.928,0.02,1.014,0.09615384615,0.1192307692,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,1.9279358648874623,0,5.653325360619511,16.733999999999998,3.2590219527589674,0.11117377816416714,-0.06854848095326434,0.020849602079715583,0.11610907387666858,0.1306082049195053,0.11796619407008163,0.03619680866838464,0.15370503558449414,58.34249081452444,169.81994192642907,117.56627117098185,-58.34249081452444,169.81994192642907,36.5737919305923,43.04152249559044,0.07458977720341259,0.0877802766400156,4.6937437902357475,4.981955119121121e-17,0.2695978042152579,0.5219269295465798,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,False
begovic_2014_mono_efd_republished_2020,C2,1.67,3.4,5.03,13.7884,2.576,2.44,0.02,1.284,0.25,0.2769230769,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,2.438286414444119,1,5.026988740904382,13.7884,2.576885664439888,0.13020256662279056,0.0184889350360123,-0.16639279669641424,0.07887721874698946,0.1315087414354198,0.18414173462231387,0.07145902403176237,0.13322964899913595,98.08204171289998,-115.36292923945918,-148.3204365281054,-98.08204171289998,-115.36292923945918,25.002438576119626,25.329617478353452,0.05099078396010795,0.051658043222412256,4.532485035294763,1.3981592970795971e-16,0.489494042817809,0.6767802090148095,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,True
begovic_2014_mono_efd_republished_2020,C3,1.67,3.4,4.4,11.1048,1.972,3.186,0.02,1.677,0.6,0.625,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,3.1853338164970744,2,4.398177939300754,11.104799999999997,1.9725359002056597,0.1753634895173252,0.2063496756800899,-0.5360146396200787,0.24295403696146023,0.27079981925579516,0.5885051894103512,0.2983495455514867,0.6848503202621278,139.6409018491742,-114.382889275736,-136.7253765829099,-139.6409018491742,-114.382889275736,33.39410839847424,84.45340138857523,0.06810502750373316,0.17223700527412572,5.157925053011713,3.769808309628475e-16,0.6769998714695245,0.8000512716987783,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,True
begovic_2014_mono_efd_republished_2020,C4,1.67,3.4,4.08,9.86,1.7,3.695,0.032,1.945,0.8076923077,0.8115384615,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,3.6974335784478054,3,4.082254547334213,9.86,1.6993368978428782,0.3479991771170258,0.38471934194813906,-0.8812847631376687,0.6607483727148411,0.5187604450448552,1.1014768475932335,0.6481803867093321,1.3779204460283576,137.86897591892136,-126.8609423737576,-148.87840928230133,-137.86897591892136,-126.8609423737576,50.433682963082795,133.9608745946985,0.1645697414324616,0.4371266423325348,6.112218807686493,4.2975209003796053e-16,0.7534797623934295,0.8486300281869193,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,True
begovic_2014_mono_efd_republished_2020,C5,1.67,3.4,3.77,8.6966,1.449,4.337,0.032,2.283,0.9576923077,0.9884615385,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,4.335963034054446,4,3.7697060489612224,8.6966,1.4490864561878756,1.020975059855486,0.4388144102664292,-0.9552208385536755,1.9597502493449757,1.1112822141582162,2.1801531804473924,1.5045017991422958,2.7993290340545713,113.25800135969513,-154.0144848701444,-177.3760344782815,-113.25800135969513,-154.0144848701444,84.04722018026817,211.71563864217947,0.2742538018353446,0.6908475816461018,7.828189178427772,6.014059706082259e-16,0.8167652470796709,0.8882008069702731,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,True
begovic_2014_mono_efd_republished_2020,C6,1.67,3.4,3.46,7.5978,1.217,5.161,0.035,2.717,1.057692308,1.092307692,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,5.158152988935713,5,3.4562341933567957,7.5978,1.2181075901891778,1.4169872872601519,-0.8878542456879128,1.310792694602769,2.504697226216871,1.6721657016704226,2.826956965226474,2.3207777276779256,3.6715321387907895,57.92961258100678,152.37541769865243,125.37027513980428,-57.92961258100678,152.37541769865243,96.52838180070175,211.9449380720504,0.34451044577144707,0.7564329136373547,6.794826425872698,3.147864828338148e-16,0.8682858361332099,0.9200317632810766,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,True
begovic_2014_mono_efd_republished_2020,C7,1.67,3.4,3.14,6.5604,1.006,6.245,0.035,3.287,0.9653846154,1.057692308,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,6.24688476050946,6,3.140642654793528,6.560399999999999,1.0058109838842562,0.532414175863784,-1.2875437603870858,1.6605617799491221,0.9333261392523378,1.3932816619666069,1.9048787644465648,1.8938734960820123,2.535428474369844,22.465658033747758,119.33835759365496,86.27428902747891,-22.465658033747758,119.33835759365496,59.96523789349321,109.12192112894411,0.21401633853275714,0.38945687258269074,3.325937049057573,1.015653677710759e-16,0.909010075698777,0.9449649287690368,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,True
begovic_2014_mono_efd_republished_2020,C8,1.67,3.4,2.83,5.601,0.815,7.71,0.045,4.058,1.030769231,1.146153846,0.01538461538,0.01538461538,red_triangle_EFD_graph_digitization,7.704066076299785,7,2.8280707658998914,5.601,0.8155674217941496,0.19593251828472602,-1.1844945624748418,1.2181980028604502,0.39279352222290737,1.200590238280264,1.2799582513791092,1.5694082637133249,1.8075466133924936,9.392500515471852,107.8713019191431,66.80360070096657,-9.392500515471852,107.8713019191431,37.66395768372806,56.70490812560521,0.17282946732755453,0.26020311376996574,1.9919207776897445,6.389059533437099e-17,0.9395966526422849,0.9635659368031269,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=1.67,True
