cycle_id,start_iteration,end_iteration,state_count,minimum_iteration,minimum_pseudo_time,minimum_kinematic_rms,final_kinematic_rms
0,0,0,1,0,0.0,0.3499799036926283,0.3499799036926283
1,1,1,1,1,0.000408036239018,0.3487729758789927,0.3487729758789927
2,2,13,12,13,0.005323689094671,0.3382566954840478,0.3382566954840478
3,14,25,12,25,0.0102651136989018,0.3284369131115341,0.3284369131115341
4,26,32,7,32,0.0148157100417426,0.320012554007214,0.320012554007214
5,33,38,6,38,0.0197969277960251,0.3109946224510466,0.3109946224510466
6,39,43,5,43,0.0239594565022963,0.3044151043266569,0.3044151043266569
7,44,49,6,49,0.0289662514959647,0.2960882357284923,0.2960882357284923
8,50,52,3,52,0.0314735664896243,0.2941927731315101,0.2941927731315101
9,53,54,2,54,0.0331491942389584,0.2898784822647128,0.2898784822647128
10,55,59,5,59,0.0373383607299576,0.2841061986877592,0.2841061986877592
11,60,65,6,65,0.0423740031673475,0.2763215197885088,0.2763215197885088
12,66,70,5,70,0.0465776958167432,0.2706995007401235,0.2706995007401235
13,71,71,1,71,0.0474179777108596,0.2741410571977524,0.2741410571977524
14,72,76,5,76,0.0516264742500883,0.2635327585575678,0.2635327585575678
15,77,77,1,77,0.0524665048224759,0.2665989944946089,0.2665989944946089
16,78,81,4,81,0.0558400884910866,0.2582744326637602,0.2582744326637602
17,82,83,2,83,0.057524975442995,0.2593922602213905,0.2593922602213905
18,84,86,3,86,0.0600558698154461,0.2534107215859773,0.2534107215859773
19,87,88,2,88,0.0617419460747573,0.2544092141706929,0.2544092141706929
20,89,92,4,92,0.0651170294155045,0.2467950170497469,0.2467950170497469
21,93,93,1,93,0.0659586797057466,0.2497249035761322,0.2497249035761322
22,94,97,4,97,0.0693384917455941,0.2420953616788753,0.2420953616788753
23,98,98,1,98,0.0701812223896663,0.245263161419825,0.245263161419825
24,99,102,4,102,0.0735608151110037,0.2376927166274592,0.2376927166274592
25,103,103,1,103,0.0744036522737722,0.2407546118345832,0.2407546118345832
26,104,108,5,107,0.0777840404334906,0.2332698452014717,0.2363766359413516
27,109,113,5,113,0.0828505566441326,0.2273611623949485,0.2273611623949485
28,114,118,5,118,0.087074163309775,0.2231348003973491,0.2231348003973491
29,119,123,5,123,0.091297324063922,0.2192260521890124,0.2192260521890124
30,124,127,4,127,0.0946759028324372,0.2168459739058498,0.2168459739058498
31,128,131,4,131,0.0980528532597442,0.2146684761511963,0.2146684761511963
32,132,135,4,133,0.0997402652134576,0.2114659487927498,0.2126398775815473
33,136,140,5,139,0.1048018877342185,0.2063066592057247,0.2089839679025918
34,141,144,4,144,0.109020136412054,0.2026621974914825,0.2026621974914825
35,145,149,5,149,0.1132368310042335,0.1993074522826101,0.1993074522826101
36,150,152,3,152,0.1157665200445556,0.1987827310596597,0.1987827310596597
37,153,156,4,154,0.1174514898518565,0.1959128105849852,0.1970338374039028
38,157,160,4,159,0.1216638665505294,0.1926227928928442,0.1954233126315703
39,161,164,4,164,0.125873847553409,0.1893980487141972,0.1893980487141972
40,165,169,5,169,0.1300813767225861,0.1862111181658076,0.1862111181658076
41,170,172,3,172,0.1326051373593799,0.1858818132120094,0.1858818132120094
42,173,176,4,175,0.1351261703329599,0.1818170921742184,0.1843463191773146
43,177,180,4,180,0.1393297950640522,0.1787540133560266,0.1787540133560266
44,181,184,4,184,0.1426915395245913,0.177223174806881,0.177223174806881
45,185,188,4,188,0.1460509135872994,0.1757042763943752,0.1757042763943752
46,189,191,3,190,0.1477294505197659,0.1731265867605612,0.1758462984259021
47,192,195,4,195,0.1519249577511033,0.1703697247789376,0.1703697247789376
48,196,199,4,199,0.1552796215680605,0.1688818411416895,0.1688818411416895
49,200,202,3,200,0.1561174822648904,0.1676674896484407,0.1688759454280272
50,203,206,4,205,0.1603070246271012,0.1650222233717631,0.16769268439871
51,207,210,4,210,0.1644935569336242,0.1624345116885815,0.1624345116885815
52,211,213,3,213,0.1670043567293218,0.1623147520281479,0.1623147520281479
53,214,217,4,215,0.1686770597990242,0.1599020834938642,0.1611209943812543
54,218,221,4,221,0.173692661307314,0.1563449253719429,0.1563449253719429
55,222,224,3,224,0.1762006492562769,0.1560848920462134,0.1560848920462134
56,225,227,3,226,0.1778718741560474,0.153874876911168,0.1564055695929641
57,228,231,4,231,0.1820482382808488,0.1516573463182778,0.1516573463182778
58,232,235,4,235,0.1853873813977589,0.1504463764993468,0.1504463764993468
59,236,238,3,236,0.186221424419482,0.1493706888105943,0.1505350691525974
60,239,241,3,241,0.1903914439290996,0.1471377347716298,0.1471377347716298
61,242,245,4,245,0.1937254418919518,0.1460182262087132,0.1460182262087132
62,246,248,3,246,0.1945582548164406,0.1449481595282931,0.146159922813042
