level,case,omega,component,real,imag
0,fn167,16.734,A33,0.2303298246228618,0.0
0,fn167,16.734,A35,0.00869801079970519,0.0
0,fn167,16.734,A53,0.017718894366835044,0.0
0,fn167,16.734,A55,0.014436946087715343,0.0
0,fn167,16.734,B33,0.1643652077774648,0.0
0,fn167,16.734,B35,-0.18914369207870185,0.0
0,fn167,16.734,B53,0.20372088833267402,0.0
0,fn167,16.734,B55,0.006260592929459048,0.0
0,fn167,16.734,F3,0.09468524342088494,-0.3400879148876812
0,fn167,16.734,F5,0.14189621331567806,0.010699894025506907
0,fn167,13.7884,A33,0.23092553209061398,0.0
0,fn167,13.7884,A35,0.009855623894555254,0.0
0,fn167,13.7884,A53,0.015810812088463383,0.0
0,fn167,13.7884,A55,0.015659147709130312,0.0
0,fn167,13.7884,B33,0.3035596316743475,0.0
0,fn167,13.7884,B35,-0.1466894232657414,0.0
0,fn167,13.7884,B53,0.18142986043893036,0.0
0,fn167,13.7884,B55,6.35462734509434e-05,0.0
0,fn167,13.7884,F3,0.0846883024790782,-0.501192850948464
0,fn167,13.7884,F5,0.1345616192102976,-0.018950308662683553
0,fn167,11.104800000000001,A33,0.2491611632932626,0.0
0,fn167,11.104800000000001,A35,0.018049472146859428,0.0
0,fn167,11.104800000000001,A53,0.009512659736660177,0.0
0,fn167,11.104800000000001,A55,0.016590324055888794,0.0
0,fn167,11.104800000000001,B33,0.3796441334811252,0.0
0,fn167,11.104800000000001,B35,-0.12611778114616395,0.0
0,fn167,11.104800000000001,B53,0.17541639903949777,0.0
0,fn167,11.104800000000001,B55,-0.0005490209271814703,0.0
0,fn167,11.104800000000001,F3,0.05033866150102779,-0.6166037108724687
0,fn167,11.104800000000001,F5,0.11165235151623397,-0.04189562097803499
0,fn167,9.86,A33,0.26408595232145177,0.0
0,fn167,9.86,A35,0.024547988967474215,0.0
0,fn167,9.86,A53,0.004966439122641464,0.0
0,fn167,9.86,A55,0.0174180197080635,0.0
0,fn167,9.86,B33,0.38102788605782767,0.0
0,fn167,9.86,B35,-0.1298275858209927,0.0
0,fn167,9.86,B53,0.18133792307027138,0.0
0,fn167,9.86,B55,0.0025460081343105664,0.0
0,fn167,9.86,F3,0.02980767752320201,-0.6557751925258983
0,fn167,9.86,F5,0.09728554420031028,-0.049801166886091236
0,fn167,8.6966,A33,0.281209784518404,0.0
0,fn167,8.6966,A35,0.03197102650053698,0.0
0,fn167,8.6966,A53,-5.909383761254489e-05,0.0
0,fn167,8.6966,A55,0.018990877509090173,0.0
0,fn167,8.6966,B33,0.3599667345710829,0.0
0,fn167,8.6966,B35,-0.14225180583400918,0.0
0,fn167,8.6966,B53,0.19241235854651684,0.0
0,fn167,8.6966,B55,0.007655673084808215,0.0
0,fn167,8.6966,F3,0.00994329209731354,-0.6832969982104354
0,fn167,8.6966,F5,0.08257939270856524,-0.05530481635259602
0,fn167,7.5978,A33,0.299435257279085,0.0
0,fn167,7.5978,A35,0.03986443649220915,0.0
0,fn167,7.5978,A53,-0.005287413002710471,0.0
0,fn167,7.5978,A55,0.021931564731228138,0.0
0,fn167,7.5978,B33,0.32166135612161956,0.0
0,fn167,7.5978,B35,-0.16141337333704442,0.0
