wave_period_s,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,radiation_model,matrix_status,matrix_type,row_dof,col_dof,row_index,col_index,value
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,surge,surge,0,0,50.20994466796725
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,surge,sway,0,1,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,surge,heave,0,2,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,surge,roll,0,3,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,surge,pitch,0,4,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,surge,yaw,0,5,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,sway,surge,1,0,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,sway,sway,1,1,2989.5709850825833
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,sway,heave,1,2,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,sway,roll,1,3,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,sway,pitch,1,4,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,sway,yaw,1,5,1325.6976245982783
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,heave,surge,2,0,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,heave,sway,2,1,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,heave,heave,2,2,3944.957337128993
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,heave,roll,2,3,0.0
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,heave,pitch,2,4,2747.797176930552
1.0,6.283185307179586,14.334541805954894,4.025678249387654,pressure_transfer_pdstrip_damping_forward,diagnostic_pressure_transfer_added_pdstrip_style_damping_forward_speed_assembly_not_validated,added_mass,heave,yaw,2,5,0.0
