cycle_id,start_iteration,end_iteration,state_count,minimum_iteration,minimum_pseudo_time,minimum_kinematic_rms,final_kinematic_rms
0,0,0,1,0,0.0,0.047683742800464,0.047683742800464
1,1,2,2,2,0.0020283685009002,0.0475713128458216,0.0475713128458216
2,3,4,2,3,0.0030280551876526,0.0470881002420881,0.049290988614017
3,5,6,2,5,0.005023849688378,0.0485843569588149,0.0509371183580604
4,7,8,2,8,0.0080057005339311,0.0494169164667856,0.0494169164667856
5,9,10,2,9,0.0089987513721932,0.0487128410100136,0.0497400831460965
6,11,13,3,13,0.0129741657705498,0.0477836072161252,0.0477836072161252
7,14,15,2,15,0.0149620018454575,0.0484978008482902,0.0484978008482902
8,16,17,2,17,0.016949462202401,0.0472474442665528,0.0472474442665528
9,18,19,2,19,0.0189364234663441,0.0480584694611657,0.0480584694611657
10,20,21,2,21,0.0209228462717618,0.0468040018203828,0.0468040018203828
11,22,23,2,23,0.0229089293424044,0.0475949451977193,0.0475949451977193
12,24,25,2,25,0.0248945993211886,0.046346940524991,0.046346940524991
13,26,28,3,28,0.0278723230678321,0.0464982313753127,0.0464982313753127
14,29,30,2,29,0.0288649265738576,0.0458934128899434,0.0473809885931927
15,31,32,2,32,0.0318415743153145,0.0460568176750859,0.0460568176750859
16,33,34,2,33,0.0328338212444319,0.0454535258133156,0.0469417245586535
17,35,36,2,36,0.0358093949684322,0.0456241377313828,0.0456241377313828
18,37,38,2,37,0.0368012905445422,0.0450226290070383,0.0465088686797397
19,39,41,3,41,0.0407673643730353,0.0445987013499074,0.0445987013499074
20,42,43,2,43,0.0427499041162058,0.0454042991613022,0.0454042991613022
21,44,45,2,45,0.0447320632926249,0.0441822463674499,0.0441822463674499
22,46,47,2,47,0.0467139212911701,0.0449896161365444,0.0449896161365444
23,48,49,2,49,0.048695402595807,0.0437731186011553,0.0437731186011553
24,50,51,2,51,0.0506765866800238,0.0445816163016935,0.0445816163016935
25,52,54,3,54,0.0536482567596769,0.0428930670078969,0.0428930670078969
26,55,56,2,56,0.0556311504875743,0.0431627590598388,0.0431627590598388
27,57,58,2,58,0.0576154189203729,0.0420654167291734,0.0420654167291734
28,59,60,2,60,0.0595986175795032,0.0431071822135677,0.0431071822135677
29,61,62,2,62,0.0615807173598136,0.0419157613260194,0.0419157613260194
30,63,64,2,64,0.0635625543825527,0.042776783241874,0.042776783241874
31,65,67,3,66,0.0655439724124329,0.0415858209575193,0.0430506227818054
32,68,69,2,69,0.0685155552430754,0.0417888784562249,0.0417888784562249
33,70,71,2,70,0.0695061320553665,0.0412145942860074,0.0426874119096148
34,72,73,2,73,0.0724768301296479,0.0414292954256653,0.0414292954256653
35,74,75,2,74,0.0734670990455563,0.0408570037103461,0.0423318060538415
36,76,77,2,77,0.0764368348709973,0.0410780105979581,0.0410780105979581
37,78,79,2,78,0.0774267843774713,0.0405077231763719,0.0419770221952603
38,80,82,3,82,0.0813852074037463,0.0401609218852358,0.0401609218852358
39,83,84,2,84,0.0833639811579857,0.0409796936210686,0.0409796936210686
40,85,86,2,86,0.0853423883355537,0.0398177338956366,0.0398177338956366
41,87,88,2,88,0.087320543213977,0.0406357099539098,0.0406357099539098
42,89,90,2,90,0.089298333599663,0.0394792551122245,0.0394792551122245
43,91,92,2,92,0.0912758730396117,0.0402960516609811,0.0402960516609811
44,93,94,2,94,0.0932530512502332,0.0391451571847335,0.0391451571847335
45,95,97,3,97,0.0962181256795297,0.0393725305423132,0.0393725305423132
46,98,99,2,98,0.097206551776076,0.0388152230848551,0.0402645506306154
47,100,101,2,101,0.1001707167664112,0.0390441449403821,0.0390441449403821
48,102,103,2,102,0.1011588450997431,0.0384894778717004,0.039934139403834
49,104,105,2,105,0.1041221078383498,0.0387199002230257,0.0387199002230257
50,106,107,2,106,0.1051099407062599,0.0381678963524075,0.0396077557514374
51,108,109,2,109,0.1080723084598034,0.0383997222303172,0.0383997222303172
52,110,111,2,110,0.1090598482233267,0.0378504093855127,0.0392853536676553
53,112,114,3,114,0.1130085772701158,0.0375369724419449,0.0375369724419449
54,115,116,2,116,0.1149825279108012,0.0383441864742268,0.0383441864742268
55,117,118,2,118,0.1169561373349598,0.0372275391699839,0.0372275391699839
56,119,120,2,120,0.1189295065988668,0.0380328378876473,0.0380328378876473
