source_directory,component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,A33,-98.88196936714107,-3.0749336379578156,0.02084486773057281,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,A35,51.1420597252485,5.001148325099965,0.0534230965113452,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,A53,-16.859043537495438,-1.648634759790622,0.060458421512830034,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,A55,-9.786862026485215,-3.0095936773677114,0.08737259891678188,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,B33,356.0867677511627,1.994011679462887,0.02084486773057281,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,B35,-243.6604903848277,-4.290716853667404,0.0534230965113452,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,B53,20.161686365347578,0.35503535000494224,0.060458421512830034,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,bem,0.85,4.720257636410119,B55,47.274076336254566,2.617825383132837,0.08737259891678188,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,front,0.85,4.720257636410119,A33,-19.81573926538755,-0.6162102516577677,0.09735447331548182,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,front,0.85,4.720257636410119,A35,-4.620744837140193,-0.45185959320228963,0.2150608911401861,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,front,0.85,4.720257636410119,A53,-15.17557079732883,-1.4840090697017432,0.07946407801951245,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\sun2007_sigma085_complete_AB_troesch_experimental_C_stable15_body12_sub16_v2,front,0.85,4.720257636410119,A55,-4.39350576425979,-1.3510629999494899,0.18809036903670173,zero_component_decomposition,13ce3fb783c232c693f56e967eb702db30dc5b77e4aaf2af1e635bf9ca10d0e7,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
